capability,apiClass
custom.auto_trigger_cooldown.v1,custom.PerActionAutoTriggerCooldowns
client.screen.v1,client.screen.ClientScreens
client.render.alpha_mask.v1,client.render.AlphaMask
client.render.bar.v1,client.render.BarStyle
event.client.decal_layer.v1,client.render.event.DecalRenderEvents
event.client.projectile_render.v1,client.render.event.ProjectileRenderEvents
event.audio.runtime.v1,event.AudioRuntimeEvents
event.build.queue.v1,unit.build.event.BuildQueueEvents
event.command.issue.v1,command.event.CommandEvents
event.core.stats.v1,event.CoreDebugStatsEvents
event.custom.asset.v1,event.CustomAssetEvents
event.custom.unit.load.v1,event.CustomUnitEvents
event.custom.unit.lifecycle.v1,custom.event.CustomUnitLifecycleEvents
event.custom.unit.render.v1,event.CustomUnitRenderEvents
event.custom.unit.runtime.v1,event.CustomUnitRuntimeEvents
custom.unit_memory.v1,custom.CustomUnitMemory
event.effect.runtime.v1,event.EffectRuntimeEvents
event.file.system.v1,event.FileSystemEvents
event.game.lifecycle.v1,event.GameLifecycleEvents
geometry.masks.v1,geometry.GeometryMasks
fog.operations.v1,fog.FogOfWar
logic.number_functions.v1,logic.LogicNumberFunctions
logic.unit_properties.v1,logic.LogicUnitProperties
logic.unit_reference.v1,logic.UnitReferenceExpression
session.v1,event.GameSessionEvents
event.hud.command.v1,event.HudCommandEvents
event.map.discovery.v1,event.MapDiscoveryEvents
event.map.mission.v1,event.MapMissionEvents
event.map.spawn.v1,event.MapSpawnEvents
multiplayer.compat.v1,event.MultiplayerCompatibilityEvents
multiplayer.dynamic_requirements.v1,multiplayer.MultiplayerRequirements
event.network.callback.v1,event.NetworkCallbackEvents
event.network.handshake.v1,event.NetworkHandshakeEvents
event.network.chat.v1,event.NetworkLobbyChatEvents
event.network.packet.v1,event.NetworkPacketEvents
event.network.sync.v1,event.NetworkSyncEvents
event.projectile.lifecycle.v1,projectile.event.ProjectileEvents
event.projectile.combat.v1,projectile.event.ProjectileCombatEvents
projectile.spawn.v1,projectile.spawn.ProjectileSpawner
projectile.assets.v1,projectile.asset.CustomProjectileAssets
projectile.collision.v1,projectile.spawn.ProjectileCollisions
projectile.turret_pattern.v1,projectile.pattern.TurretProjectilePatternEvents
event.render.image.v1,event.RenderImageLifecycleEvents
event.repair.reclaim.v1,unit.repair.event.RepairReclaimEvents
event.resource.runtime.v1,event.ResourceRuntimeEvents
event.runtime.lifecycle.v1,event.RuntimeLifecycleEvents
event.custom.registry.v1,event.RustedCustomUnitRegistryEvents
event.custom.context.v1,custom.event.CustomUnitTriggerEvents
event.ini.v1,event.RustedIniEvents
ini.extensions.v1,ini.IniExtensions
ini.action_effects.v1,ini.action.IniActionEffects
event.save.sync.v1,event.SaveSyncEvents
event.selection.v1,client.event.SelectionEvents
event.transport.v1,unit.transport.event.TransportEvents
event.ui.script.v1,event.UiScriptEvents
event.unit.damage.v1,unit.event.UnitDamageEvents
event.unit.lifecycle.v1,unit.event.UnitEvents
unit.movement_override.v1,unit.movement.UnitMovementOverrides
